N,P,K,temperature,humidity,ph,rainfall,label
45,30,24,33.53,48.64,7.26,58.78,Bajra
49,28,26,33.57,45.45,7.29,61.2,Bajra
45,28,28,34.7,48.64,7.32,53.44,Bajra
44,27,24,34.12,50.87,7.45,58.73,Bajra
47,26,28,33.22,49.37,7.35,55.73,Bajra
45,25,23,33.2,49.15,7.42,51.51,Bajra
49,27,26,33.26,49.98,7.32,61.42,Bajra
48,30,24,33.9,47.08,7.39,59.0,Bajra
48,30,22,34.68,49.43,7.26,59.05,Bajra
45,29,25,34.24,48.1,7.26,58.57,Bajra
51,26,25,33.67,47.16,7.38,60.15,Bajra
45,30,27,33.92,45.7,7.38,58.51,Bajra
46,27,27,34.17,47.64,7.18,61.2,Bajra
47,28,20,33.98,47.64,7.24,60.26,Bajra
47,28,28,33.49,47.32,7.31,56.13,Bajra
47,26,28,33.53,51.2,7.5,57.72,Bajra
48,27,28,33.91,46.07,6.95,57.19,Bajra
46,30,26,34.5,47.32,7.27,61.16,Bajra
41,28,25,34.68,47.21,7.35,60.76,Bajra
43,27,25,34.47,49.01,7.28,54.86,Bajra
48,27,22,33.23,48.66,7.17,63.58,Bajra
44,27,26,33.64,44.64,7.32,55.74,Bajra
46,27,26,34.78,47.18,7.25,53.0,Bajra
45,28,25,34.21,47.73,7.17,58.94,Bajra
45,28,24,33.67,48.24,7.28,63.17,Bajra
47,29,25,32.99,46.79,7.24,57.18,Bajra
45,29,26,34.58,47.53,7.33,59.03,Bajra
46,30,27,33.34,47.83,7.3,64.45,Bajra
45,26,26,34.25,47.89,7.28,60.85,Bajra
44,27,24,34.55,48.43,7.19,55.11,Bajra
49,30,27,34.01,50.26,7.19,60.26,Bajra
45,27,27,33.93,47.35,7.25,52.04,Bajra
47,25,29,33.86,49.96,7.12,60.19,Bajra
47,30,22,33.65,48.86,7.31,58.88,Bajra
45,31,31,34.05,48.68,7.31,61.85,Bajra
47,25,24,33.5,52.04,7.36,56.21,Bajra
44,29,27,34.4,47.36,7.33,58.33,Bajra
44,26,26,34.1,48.83,7.38,62.5,Bajra
44,29,27,33.84,48.18,7.27,64.33,Bajra
46,28,25,33.76,46.05,7.41,60.31,Bajra
45,26,26,33.75,47.67,7.17,58.65,Bajra
46,30,25,33.83,45.66,7.41,60.68,Bajra
46,25,23,33.73,49.45,7.33,53.52,Bajra
46,26,24,34.49,49.15,7.41,57.93,Bajra
47,26,25,33.84,48.04,7.17,57.32,Bajra
48,25,23,33.38,51.99,7.35,57.19,Bajra
46,28,24,33.74,47.76,7.23,56.81,Bajra
46,26,31,34.38,46.09,7.05,55.94,Bajra
47,28,25,33.7,46.64,7.26,54.96,Bajra
53,44,32,26.31,68.15,6.09,89.47,Ragi
56,40,33,27.02,68.47,6.21,94.52,Ragi
53,44,29,25.93,63.87,6.22,91.29,Ragi
56,43,32,25.8,67.57,6.14,91.9,Ragi
56,40,33,25.85,71.74,6.26,95.4,Ragi
55,43,34,26.18,64.82,6.24,91.67,Ragi
55,41,35,26.47,62.63,6.16,86.43,Ragi
54,41,36,26.1,66.27,6.29,91.05,Ragi
53,42,37,26.43,67.85,6.48,89.8,Ragi
52,42,37,25.53,69.63,6.06,91.64,Ragi
54,40,32,26.4,69.16,5.99,92.54,Ragi
53,42,33,25.35,69.31,6.32,91.69,Ragi
53,40,28,26.18,68.17,6.21,91.74,Ragi
54,40,33,25.92,68.05,6.34,91.31,Ragi
51,42,38,25.52,68.33,6.33,90.92,Ragi
52,43,34,26.35,70.11,6.22,88.42,Ragi
54,42,36,25.9,66.39,6.06,93.64,Ragi
60,41,34,25.73,65.08,6.24,92.08,Ragi
49,45,34,26.04,66.37,6.24,93.35,Ragi
54,44,36,27.0,65.74,6.14,93.08,Ragi
52,40,34,26.45,68.91,6.18,93.39,Ragi
54,42,32,25.53,68.0,6.12,86.67,Ragi
53,44,28,25.86,68.01,6.02,91.36,Ragi
51,39,33,25.44,65.19,6.19,98.68,Ragi
55,44,35,25.65,67.47,6.31,94.49,Ragi
54,43,38,26.42,66.53,6.19,88.84,Ragi
58,45,34,27.09,67.95,6.16,94.72,Ragi
54,43,31,25.59,69.23,6.37,96.25,Ragi
58,43,35,25.54,66.13,6.0,91.04,Ragi
49,44,34,24.99,66.72,6.4,91.62,Ragi
52,38,30,26.27,66.35,6.16,90.71,Ragi
53,39,34,25.29,65.87,6.3,93.13,Ragi
55,46,33,26.01,66.6,6.16,88.97,Ragi
54,42,34,26.03,68.39,6.2,90.77,Ragi
52,38,36,25.65,65.61,6.16,91.16,Ragi
57,41,39,26.03,70.09,6.29,93.08,Ragi
57,44,35,27.16,66.25,6.1,89.97,Ragi
57,44,32,24.82,66.69,6.1,90.52,Ragi
51,38,37,25.66,69.12,6.18,88.61,Ragi
55,41,33,26.07,65.78,6.04,91.85,Ragi
55,40,34,26.75,66.87,6.21,92.17,Ragi
52,40,32,26.18,68.14,6.28,90.86,Ragi
56,42,34,24.33,65.77,6.05,93.88,Ragi
54,39,34,25.29,65.43,6.13,93.62,Ragi
56,40,36,26.02,67.35,6.19,91.41,Ragi
54,43,32,25.91,69.5,6.22,92.86,Ragi
56,40,33,26.41,68.86,5.96,89.79,Ragi
52,41,32,26.33,67.26,6.29,94.86,Ragi
55,41,34,25.77,64.95,6.3,91.75,Ragi
50,43,33,24.97,64.94,6.13,92.63,Ragi
55,43,35,25.98,69.58,6.27,92.67,Ragi
55,41,33,24.96,66.42,6.38,92.45,Ragi
54,43,34,25.61,67.04,6.09,92.55,Ragi
52,43,32,25.59,66.83,6.24,88.38,Ragi
52,42,36,24.74,67.92,6.16,90.52,Ragi
52,41,35,25.73,69.49,6.26,92.59,Ragi
53,44,36,25.42,65.95,6.26,94.81,Ragi
53,40,34,26.74,67.06,6.07,92.33,Ragi
55,41,36,26.43,66.91,6.2,86.47,Ragi
56,41,33,25.73,67.69,6.09,89.05,Ragi
53,40,34,25.71,69.39,6.27,94.04,Ragi
52,46,33,25.64,68.06,6.22,89.54,Ragi
58,43,34,27.2,68.22,6.2,98.84,Ragi
55,43,33,26.02,66.38,6.34,87.17,Ragi
56,40,33,25.85,66.22,6.27,91.98,Ragi
52,42,32,25.73,64.75,6.15,93.48,Ragi
54,45,39,25.77,65.75,6.31,93.01,Ragi
56,42,33,25.91,67.65,6.18,95.66,Ragi
51,44,30,26.07,66.5,6.05,85.82,Ragi
51,42,32,25.48,69.03,6.08,94.04,Ragi
52,39,32,26.31,64.94,6.23,89.12,Ragi
52,42,38,25.54,68.08,6.17,90.58,Ragi
56,40,31,26.23,69.39,6.27,87.78,Ragi
52,43,37,26.11,66.13,6.36,91.78,Ragi
52,40,31,27.42,69.13,6.13,97.2,Ragi
55,42,32,25.74,66.94,6.0,90.54,Ragi
54,44,32,26.41,63.91,6.32,89.3,Ragi
54,42,34,25.95,65.14,6.11,94.99,Ragi
52,41,31,26.43,65.02,6.29,88.81,Ragi
56,42,32,26.8,66.9,6.16,94.73,Ragi
51,36,36,25.58,68.3,6.2,88.51,Ragi
55,41,31,25.47,64.4,6.24,89.19,Ragi
53,41,32,25.24,70.8,6.2,97.47,Ragi
56,41,34,26.08,69.77,6.28,89.58,Ragi
54,43,31,26.25,69.02,6.11,89.84,Ragi
56,41,32,26.44,67.87,6.21,95.37,Ragi
56,41,37,26.79,64.02,6.1,85.23,Ragi
53,39,32,26.55,64.37,6.21,92.37,Ragi
53,42,29,25.6,69.31,6.08,97.0,Ragi
51,38,32,26.56,66.18,6.23,92.22,Ragi
53,44,35,25.43,66.59,6.37,92.96,Ragi
50,39,35,26.35,65.62,6.27,96.8,Ragi
56,45,35,25.91,66.4,6.2,89.37,Ragi
53,44,30,25.23,68.25,6.16,86.22,Ragi
53,41,33,26.34,65.0,6.2,91.37,Ragi
54,38,32,26.01,67.81,6.38,94.42,Ragi
54,44,33,26.78,68.68,6.16,97.77,Ragi
54,46,34,25.72,65.85,6.16,90.29,Ragi
56,41,30,26.11,67.19,6.15,92.8,Ragi
53,43,35,26.18,65.05,6.41,87.33,Ragi
53,39,34,26.07,66.75,6.35,95.33,Ragi
53,43,37,26.55,66.8,6.04,92.97,Ragi
55,40,34,25.96,69.08,6.39,95.53,Ragi
53,44,35,25.96,70.14,6.13,93.81,Ragi
55,41,35,26.47,67.37,6.25,92.32,Ragi
55,41,33,26.01,68.78,6.03,89.27,Ragi
58,42,33,26.4,65.82,5.99,93.06,Ragi
52,42,34,26.07,64.44,6.2,93.33,Ragi
51,38,31,26.37,64.0,6.28,93.18,Ragi
53,39,32,26.39,68.89,6.1,95.43,Ragi
55,41,32,25.71,69.73,6.22,95.99,Ragi
54,41,35,27.08,66.03,6.29,92.57,Ragi
51,39,33,26.17,68.32,6.04,93.96,Ragi
53,42,35,26.87,67.46,6.06,91.44,Ragi
55,43,35,25.74,64.95,6.26,88.36,Ragi
55,43,33,25.94,67.3,6.14,87.85,Ragi
53,42,36,25.61,68.6,6.09,87.97,Ragi
53,40,31,26.97,66.32,6.43,89.02,Ragi
50,44,32,26.07,64.97,6.2,87.89,Ragi
53,41,34,26.31,67.36,6.25,91.67,Ragi
53,42,33,25.96,67.6,6.1,96.29,Ragi
53,42,33,26.33,67.51,6.2,96.35,Ragi
47,44,35,25.08,68.39,6.31,93.69,Ragi
50,43,36,25.71,67.66,6.16,94.66,Ragi
53,40,33,25.33,66.79,6.24,94.61,Ragi
54,39,36,26.72,67.17,6.12,90.41,Ragi
53,42,33,25.57,68.53,6.23,88.84,Ragi
54,42,32,26.6,67.2,6.18,91.75,Ragi
54,41,33,26.53,64.87,6.07,94.33,Ragi
58,43,37,25.78,66.04,6.25,94.86,Ragi
51,41,33,25.66,66.16,6.28,93.41,Ragi
55,42,32,26.21,65.57,6.17,88.89,Ragi
52,42,33,25.56,68.71,6.19,90.42,Ragi
51,38,33,25.31,68.07,6.2,96.68,Ragi
54,40,30,26.4,65.05,6.16,97.02,Ragi
55,42,35,26.45,69.37,6.14,90.87,Ragi
52,41,33,25.12,66.02,6.34,92.73,Ragi
55,41,30,25.94,68.56,6.08,94.24,Ragi
50,42,35,25.84,70.71,6.15,90.26,Ragi
54,40,31,25.45,68.14,6.17,97.11,Ragi
53,43,35,25.77,65.68,6.03,93.66,Ragi
56,38,33,25.67,67.83,6.17,95.97,Ragi
53,39,33,25.82,67.79,6.16,93.32,Ragi
52,41,32,25.58,68.91,6.13,90.96,Ragi
56,43,37,26.24,66.1,6.41,93.75,Ragi
53,42,34,25.88,64.94,6.36,91.93,Ragi
54,46,32,26.33,65.81,6.23,92.6,Ragi
55,44,32,26.71,69.23,6.18,91.98,Ragi
53,41,31,26.39,63.92,6.13,91.86,Ragi
56,40,34,25.96,68.42,6.24,94.49,Ragi
56,31,32,18.76,52.05,7.13,67.73,Mustard
59,32,29,19.85,49.63,7.05,65.94,Mustard
61,33,32,18.56,52.19,6.98,61.75,Mustard
59,33,33,18.92,49.95,7.22,60.05,Mustard
56,33,34,18.74,50.61,7.12,63.36,Mustard
57,34,29,18.14,55.21,7.11,64.52,Mustard
56,35,30,17.61,51.15,7.07,63.49,Mustard
57,32,30,18.85,49.53,6.9,64.29,Mustard
58,35,31,18.4,49.09,7.01,65.27,Mustard
60,34,29,18.56,50.73,7.06,67.36,Mustard
60,33,32,18.6,49.44,7.28,57.03,Mustard
54,37,32,18.44,53.02,7.18,60.0,Mustard
56,35,30,19.14,54.14,6.86,62.98,Mustard
58,30,30,19.52,50.94,6.95,67.39,Mustard
58,33,31,19.51,52.44,7.16,61.92,Mustard
54,35,34,18.89,53.33,7.07,63.73,Mustard
61,33,31,18.07,53.04,7.03,64.44,Mustard
57,33,31,18.98,53.76,7.25,65.95,Mustard
60,35,32,19.73,50.04,7.03,61.54,Mustard
57,35,29,19.25,51.12,7.07,64.6,Mustard
61,32,31,18.46,50.92,6.99,64.73,Mustard
58,35,30,19.25,52.17,7.09,60.28,Mustard
58,34,32,19.2,53.04,6.99,63.35,Mustard
59,33,33,19.05,49.07,7.18,63.65,Mustard
54,33,29,19.38,51.95,7.01,66.43,Mustard
58,33,29,18.58,50.71,7.17,58.96,Mustard
57,33,34,19.12,52.8,7.05,60.31,Mustard
57,35,33,18.78,50.71,6.99,63.59,Mustard
58,36,32,19.31,50.83,7.1,64.42,Mustard
57,33,32,19.24,53.75,6.87,67.34,Mustard
54,34,36,18.98,52.27,7.07,66.0,Mustard
58,32,31,18.44,51.82,7.06,64.41,Mustard
56,33,32,19.04,52.41,7.08,61.64,Mustard
58,33,34,19.58,49.94,7.16,66.45,Mustard
55,35,33,18.53,51.65,7.12,65.71,Mustard
56,36,27,19.66,52.83,7.04,66.59,Mustard
55,34,32,19.12,50.74,7.05,64.38,Mustard
56,34,30,19.5,54.34,7.07,66.76,Mustard
57,32,31,19.04,49.32,7.16,64.26,Mustard
60,35,32,18.82,54.28,7.32,62.98,Mustard
60,32,30,18.81,53.03,6.99,68.65,Mustard
59,35,31,19.41,47.62,7.14,64.48,Mustard
54,34,33,18.07,50.22,7.31,63.44,Mustard
59,36,32,19.51,48.83,7.08,54.76,Mustard
54,32,30,19.02,51.97,7.11,64.52,Mustard
58,32,30,18.98,51.97,6.99,67.24,Mustard
59,32,31,20.0,52.24,7.14,62.17,Mustard
57,37,32,18.96,52.01,7.35,64.12,Mustard
56,32,33,18.29,52.68,7.03,58.42,Mustard
56,34,34,19.46,51.56,7.2,62.93,Mustard
55,34,28,19.4,53.21,7.01,64.44,Mustard
58,35,29,19.3,50.02,7.18,67.19,Mustard
56,36,28,19.55,54.16,7.13,63.41,Mustard
58,32,37,18.71,53.98,7.03,68.79,Mustard
62,34,32,18.52,50.39,7.13,68.37,Mustard
56,38,30,19.11,52.35,7.09,57.87,Mustard
56,34,31,19.32,53.14,7.08,61.11,Mustard
61,31,30,18.58,53.12,7.23,63.48,Mustard
58,34,35,18.11,53.12,7.14,62.89,Mustard
58,35,33,20.08,52.19,7.1,63.46,Mustard
59,33,32,19.01,51.8,7.04,65.25,Mustard
57,35,32,18.81,54.35,7.09,65.87,Mustard
56,29,30,17.93,51.64,7.25,61.28,Mustard
53,37,31,18.99,53.18,7.15,66.25,Mustard
59,30,29,19.59,50.83,7.03,60.21,Mustard
57,33,30,18.47,52.48,7.02,62.18,Mustard
53,37,33,18.75,50.65,7.1,63.95,Mustard
55,28,30,18.22,52.26,7.12,61.08,Mustard
56,37,33,18.77,55.44,6.98,61.56,Mustard
57,30,35,19.09,50.82,7.14,64.44,Mustard
57,31,29,20.09,49.97,7.27,61.47,Mustard
59,34,33,19.37,49.58,7.03,59.9,Mustard
58,31,28,18.88,48.69,7.13,60.23,Mustard
56,29,35,18.27,51.45,6.92,61.49,Mustard
61,34,30,18.98,51.16,7.09,66.23,Mustard
57,34,32,18.84,50.9,7.05,66.1,Mustard
59,31,31,18.62,53.2,7.05,70.6,Mustard
58,36,29,19.01,52.92,7.0,64.06,Mustard
60,33,30,19.9,50.24,7.12,61.88,Mustard
56,35,31,19.2,48.62,7.15,61.84,Mustard
54,37,33,19.11,53.87,7.12,61.6,Mustard
57,32,30,18.37,50.54,7.19,65.0,Mustard
56,31,31,18.16,52.19,7.19,71.1,Mustard
55,35,30,18.44,50.31,7.11,61.21,Mustard
56,33,30,18.59,48.36,7.11,64.2,Mustard
56,34,34,19.01,54.0,7.32,71.59,Mustard
55,31,31,19.06,54.38,7.16,60.39,Mustard
56,33,29,19.01,50.22,6.93,61.16,Mustard
58,34,32,19.5,53.33,7.12,64.2,Mustard
58,33,27,19.57,52.6,6.98,68.28,Mustard
56,33,34,19.11,54.0,7.06,69.07,Mustard
56,36,27,18.45,52.45,7.06,63.78,Mustard
58,31,29,19.12,51.0,7.23,63.42,Mustard
59,34,30,18.01,53.78,7.0,62.79,Mustard
57,33,33,19.0,51.81,7.2,65.8,Mustard
56,31,30,18.98,50.13,7.11,63.61,Mustard
52,31,26,18.83,53.61,6.91,60.03,Mustard
57,31,29,19.27,51.26,6.95,57.74,Mustard
62,36,31,19.04,51.27,7.15,61.44,Mustard
56,34,34,19.37,53.85,7.07,62.13,Mustard
54,34,32,18.85,50.83,7.22,65.9,Mustard
60,32,30,19.6,51.93,7.04,62.5,Mustard
57,36,31,19.4,52.7,7.01,61.36,Mustard
57,31,30,19.76,51.95,7.02,69.75,Mustard
56,32,34,19.33,51.8,7.18,64.9,Mustard
55,29,30,19.54,51.36,7.15,64.55,Mustard
54,33,32,18.61,51.46,7.14,64.22,Mustard
60,34,30,18.76,52.03,7.23,62.58,Mustard
54,34,30,18.36,52.03,7.2,62.28,Mustard
58,35,33,18.63,50.32,7.0,66.37,Mustard
59,32,36,18.46,53.5,7.25,64.33,Mustard
56,32,31,19.54,50.2,6.92,65.09,Mustard
59,37,29,18.93,53.74,7.11,63.41,Mustard
59,32,33,18.37,49.72,7.07,56.31,Mustard
58,30,32,19.09,51.9,7.14,64.61,Mustard
57,37,32,19.39,53.61,7.17,70.19,Mustard
58,33,30,18.87,50.9,7.17,61.26,Mustard
58,35,32,18.55,53.05,7.09,55.38,Mustard
56,36,34,19.26,53.18,7.02,63.22,Mustard
60,34,32,18.91,53.76,7.21,65.95,Mustard
58,33,33,18.45,50.66,6.95,67.71,Mustard
56,34,31,20.45,52.66,6.91,67.53,Mustard
57,33,30,19.1,52.27,7.04,62.48,Mustard
58,29,29,19.83,52.49,7.05,58.91,Mustard
57,35,37,19.95,50.67,7.05,59.59,Mustard
56,33,31,20.03,50.03,7.1,57.81,Mustard
58,31,34,18.85,49.9,6.89,61.06,Mustard
58,34,31,19.46,50.3,6.81,64.85,Mustard
60,36,29,18.73,53.09,7.04,64.32,Mustard
56,31,30,19.48,52.02,7.23,65.56,Mustard
61,35,33,18.94,56.51,7.11,58.08,Mustard
58,32,34,19.36,51.71,7.01,64.44,Mustard
56,35,33,20.47,51.33,7.07,63.54,Mustard
57,36,31,19.99,52.87,7.05,61.78,Mustard
60,34,32,18.7,51.91,7.04,68.09,Mustard
59,33,31,19.05,51.99,7.0,58.3,Mustard
56,33,30,19.41,51.66,7.29,62.32,Mustard
58,33,32,19.53,52.91,6.9,65.5,Mustard
55,33,33,18.44,53.73,7.06,70.51,Mustard
58,37,34,18.69,50.05,7.11,62.25,Mustard
61,33,31,18.3,52.63,6.98,65.33,Mustard
59,32,33,18.86,49.79,7.25,61.23,Mustard
59,34,32,19.19,50.54,7.27,66.87,Mustard
58,31,30,19.33,48.99,7.13,60.01,Mustard
56,31,32,19.56,52.52,7.15,64.5,Mustard
59,34,26,19.45,53.2,7.06,58.08,Mustard
58,34,31,19.09,53.61,7.34,64.44,Mustard
58,32,30,18.93,53.77,7.18,69.79,Mustard
55,31,34,19.72,52.05,6.65,61.77,Mustard
58,32,32,19.95,54.14,7.18,63.81,Mustard
61,39,36,31.03,55.67,6.93,88.26,Jowar
59,38,36,31.24,58.84,7.06,84.13,Jowar
59,36,37,30.4,56.44,6.9,80.46,Jowar
59,40,34,30.13,57.23,7.05,80.51,Jowar
63,35,35,30.8,57.16,6.99,88.34,Jowar
61,36,36,31.1,57.0,7.0,83.74,Jowar
60,39,36,31.39,58.95,6.91,89.0,Jowar
61,39,35,31.16,58.51,7.08,81.1,Jowar
58,39,36,30.61,58.55,6.86,95.79,Jowar
64,39,36,30.69,56.03,6.99,83.42,Jowar
60,35,36,30.81,58.8,7.05,86.69,Jowar
67,39,33,31.23,57.92,6.87,81.74,Jowar
62,39,33,31.49,58.43,7.12,89.27,Jowar
61,41,33,32.2,56.68,7.0,84.3,Jowar
61,43,35,31.43,57.65,7.09,84.37,Jowar
62,39,34,32.38,59.02,6.98,83.91,Jowar
62,35,39,31.22,57.87,7.1,83.84,Jowar
59,37,36,31.27,55.79,6.95,76.75,Jowar
59,39,37,30.43,57.51,7.0,89.23,Jowar
65,38,35,30.28,58.16,7.21,89.87,Jowar
62,38,34,30.82,58.22,7.02,89.03,Jowar
63,39,34,30.52,56.67,7.02,79.92,Jowar
61,40,37,30.82,56.95,7.08,86.92,Jowar
61,36,36,30.85,59.18,7.12,81.9,Jowar
59,40,36,30.43,59.47,7.03,92.61,Jowar
61,40,33,31.7,59.42,7.16,89.33,Jowar
61,35,34,30.12,56.62,7.04,85.86,Jowar
61,36,32,31.09,58.57,6.9,84.4,Jowar
65,40,33,30.96,60.18,6.98,85.19,Jowar
64,39,37,30.87,58.99,7.15,85.85,Jowar
61,40,40,32.06,57.44,6.97,82.91,Jowar
62,35,34,31.35,58.58,6.82,90.71,Jowar
59,36,33,30.67,56.65,6.91,78.61,Jowar
62,38,40,31.24,57.26,6.88,85.71,Jowar
62,36,36,31.95,57.42,6.81,88.62,Jowar
62,34,36,30.5,58.66,7.19,85.47,Jowar
64,35,32,32.01,58.46,7.06,89.46,Jowar
60,39,37,30.35,60.27,7.13,82.15,Jowar
62,37,38,30.29,63.4,6.98,88.22,Jowar
64,37,35,30.75,56.67,7.03,85.59,Jowar
60,37,37,30.6,57.63,7.09,86.74,Jowar
59,37,36,31.49,56.87,6.94,83.91,Jowar
60,38,37,31.53,57.86,6.86,88.01,Jowar
62,38,33,30.9,56.21,7.05,84.71,Jowar
60,34,38,30.87,58.13,6.93,81.05,Jowar
60,37,36,30.82,56.92,6.85,86.15,Jowar
60,40,36,31.28,57.63,7.02,83.33,Jowar
59,38,37,30.03,57.25,7.18,87.44,Jowar
65,36,35,31.48,58.94,6.99,82.21,Jowar
64,43,32,31.7,57.3,6.97,86.81,Jowar
59,37,32,31.24,61.35,6.94,85.49,Jowar
61,39,36,31.46,57.24,7.04,75.9,Jowar
63,35,35,31.37,55.7,7.11,85.63,Jowar
64,36,32,30.99,58.88,7.07,82.59,Jowar
58,37,37,31.23,60.36,6.96,80.47,Jowar
64,38,36,31.38,59.9,7.0,89.53,Jowar
63,36,35,31.31,56.94,7.09,86.47,Jowar
62,40,36,31.04,57.88,6.99,86.94,Jowar
64,36,34,31.64,57.15,7.02,84.22,Jowar
58,38,38,30.97,55.78,7.01,83.73,Jowar
56,37,37,31.59,60.64,7.07,88.8,Jowar
59,41,38,30.82,59.02,7.06,90.41,Jowar
61,36,35,31.45,55.12,6.7,88.68,Jowar
62,38,33,30.15,57.05,7.04,84.24,Jowar
63,36,34,31.35,57.43,6.97,84.07,Jowar
60,38,36,31.11,57.08,6.98,90.79,Jowar
59,41,36,30.91,59.43,6.79,90.14,Jowar
65,40,31,31.38,60.47,7.15,81.78,Jowar
64,41,36,30.27,59.24,7.11,85.58,Jowar
59,39,34,31.2,60.34,6.83,88.72,Jowar
61,37,37,30.61,56.24,6.82,89.7,Jowar
61,39,35,30.42,58.98,7.03,85.29,Jowar
62,36,38,31.65,59.14,6.96,86.18,Jowar
65,40,39,30.61,56.69,7.01,87.22,Jowar
61,37,38,30.95,56.18,6.89,86.74,Jowar
68,36,35,32.2,57.27,7.05,91.63,Jowar
60,37,35,30.24,60.35,6.94,83.37,Jowar
61,39,36,30.6,58.61,7.08,85.93,Jowar
61,40,35,31.8,56.86,6.92,83.29,Jowar
61,38,33,31.05,58.85,6.85,84.44,Jowar
63,35,35,31.54,60.69,7.04,85.49,Jowar
60,39,38,30.42,59.37,6.94,83.42,Jowar
61,39,36,31.14,58.53,7.05,85.66,Jowar
63,36,37,31.43,59.05,7.08,87.39,Jowar
64,33,37,31.99,57.07,6.93,89.86,Jowar
60,36,36,30.6,59.31,6.92,87.08,Jowar
62,41,38,30.74,56.1,7.08,84.04,Jowar
61,35,37,30.68,57.95,7.0,86.55,Jowar
63,37,34,30.07,58.15,6.98,83.87,Jowar
62,39,38,30.23,57.46,7.1,90.79,Jowar
60,40,33,31.57,57.58,7.16,84.61,Jowar
61,37,32,30.12,58.77,7.1,87.82,Jowar
59,38,34,31.2,59.7,7.04,90.41,Jowar
61,37,36,30.33,57.4,6.97,85.15,Jowar
62,35,33,31.57,54.99,7.06,84.88,Jowar
62,41,35,31.31,58.09,6.99,85.3,Jowar
63,36,33,31.04,58.29,6.82,85.97,Jowar
59,39,32,31.96,57.49,6.91,85.15,Jowar
63,39,35,30.28,56.18,7.03,88.96,Jowar
64,38,37,31.96,59.79,7.09,83.58,Jowar
63,38,37,31.63,58.54,6.99,82.79,Jowar
61,38,36,31.12,59.44,7.09,85.81,Jowar
60,38,40,31.16,57.56,7.05,87.79,Jowar
63,40,36,31.66,58.35,7.15,89.62,Jowar
63,39,40,31.54,56.73,7.02,85.21,Jowar
66,40,40,30.62,59.65,6.86,81.22,Jowar
61,41,34,30.99,59.78,7.08,92.65,Jowar
62,37,33,30.82,56.34,6.82,91.89,Jowar
62,43,34,30.79,56.84,6.94,88.62,Jowar
63,39,38,31.55,56.49,6.95,86.36,Jowar
69,39,36,31.34,57.1,7.03,88.86,Jowar
61,36,35,30.84,55.96,6.94,81.82,Jowar
59,35,37,31.74,55.7,7.16,82.62,Jowar
63,38,37,30.42,55.28,6.92,87.28,Jowar
65,35,35,30.63,57.97,6.81,90.49,Jowar
62,39,35,31.1,59.69,7.01,86.5,Jowar
60,36,33,30.63,59.88,7.18,82.26,Jowar
62,37,38,31.07,57.99,6.93,81.4,Jowar
63,38,36,30.7,57.78,7.08,88.95,Jowar
59,36,33,31.1,59.33,6.97,84.01,Jowar
61,42,38,31.37,58.48,7.0,83.28,Jowar
59,36,34,30.7,57.85,7.0,84.14,Jowar
62,37,36,30.63,59.04,6.95,90.83,Jowar
61,37,37,31.41,59.38,7.18,87.99,Jowar
61,36,35,31.74,55.92,6.92,85.34,Jowar
60,37,39,30.85,58.62,6.83,82.69,Jowar
63,41,36,30.85,58.74,6.74,86.69,Jowar
59,39,31,30.69,57.94,6.92,84.87,Jowar
63,37,34,31.47,58.38,7.03,83.32,Jowar
56,36,33,30.69,56.74,7.01,88.64,Jowar
64,39,34,31.03,60.35,6.84,90.04,Jowar
60,38,36,31.09,61.34,6.97,81.08,Jowar
62,37,37,31.44,57.95,7.04,86.43,Jowar
65,37,34,31.44,56.61,7.04,85.49,Jowar
61,42,38,31.51,58.8,6.93,86.78,Jowar
63,38,36,30.8,58.41,6.95,88.11,Jowar
57,40,33,30.47,58.61,7.05,92.23,Jowar
62,37,36,31.8,61.64,6.98,87.63,Jowar
61,37,39,30.54,54.5,7.03,89.6,Jowar
62,39,37,31.06,58.83,7.05,80.12,Jowar
62,34,35,30.75,59.55,7.02,87.42,Jowar
61,40,32,30.55,59.93,6.96,79.56,Jowar
64,40,37,31.05,60.49,7.13,90.64,Jowar
63,38,35,30.37,58.75,7.06,84.95,Jowar
63,37,37,30.56,56.42,6.98,88.49,Jowar
59,40,32,30.88,55.88,6.74,87.1,Jowar
61,35,34,31.22,57.45,6.98,84.8,Jowar
60,36,34,30.62,56.47,6.96,84.08,Jowar
59,39,38,31.0,58.1,6.93,89.2,Jowar
65,37,34,31.17,58.19,6.95,87.41,Jowar
106,52,53,27.23,84.72,5.92,238.74,Rice
103,51,49,27.88,87.0,5.89,229.43,Rice
109,48,51,28.47,84.88,6.09,227.89,Rice
107,49,45,27.43,84.87,5.9,229.52,Rice
100,54,48,28.2,86.26,6.0,231.77,Rice
107,52,46,28.69,88.03,5.96,229.33,Rice
103,56,50,27.97,89.51,5.95,228.68,Rice
104,54,48,28.63,84.57,5.77,233.81,Rice
103,58,49,27.74,87.82,5.97,233.9,Rice
104,54,43,28.66,80.85,5.86,227.21,Rice
103,53,45,26.61,86.31,6.11,230.95,Rice
106,57,44,27.77,84.09,5.82,237.11,Rice
105,55,47,27.39,87.02,6.03,232.95,Rice
105,51,49,28.67,86.61,5.72,236.91,Rice
103,54,49,28.54,83.3,5.91,232.15,Rice
107,54,50,28.27,85.89,5.92,236.57,Rice
102,55,46,27.58,87.54,5.81,233.13,Rice
104,49,48,28.06,83.13,5.83,226.58,Rice
106,56,49,28.49,85.22,5.95,231.97,Rice
